#{"t_start": 1711607050.050625, "env_id": "None"}
r,l,t
-7.0,151,0.748144
-3.0,151,0.808372
-13.0,151,0.874945
1.0,151,0.958484
7.0,151,1.042087
-7.0,151,1.111527
-5.0,151,1.174969
11.0,151,1.241549
-5.0,151,1.318401
-11.0,151,1.385099
19.0,151,1.468836
-15.0,151,1.541643
1.0,151,1.610803
-21.0,151,1.675028
-3.0,151,1.749156
-19.0,151,1.818391
7.0,151,1.88446
3.0,151,1.95123
-3.0,151,2.024857
-1.0,151,2.093238
7.0,151,2.159935
-5.0,151,2.237991
-13.0,151,2.305594
-7.0,151,2.368443
-1.0,151,2.441516
-9.0,151,2.50833
1.0,151,2.574949
23.0,151,2.645681
-1.0,151,2.708338
11.0,151,2.774853
-7.0,151,2.844207
5.0,151,2.91846
1.0,151,2.991537
9.0,151,3.086652
3.0,151,3.158592
-1.0,151,3.224803
-7.0,151,3.291527
11.0,151,3.369355
-9.0,151,3.434964
-3.0,151,3.53483
-11.0,151,3.597062
-11.0,151,3.674202
-7.0,151,3.741501
-9.0,151,3.80831
3.0,151,3.881103
9.0,151,3.941491
5.0,151,4.018576
-5.0,151,4.091896
1.0,151,4.168072
-11.0,151,4.264736
-3.0,151,4.619491
-23.0,151,4.772151
7.0,151,4.848168
-1.0,151,4.922121
34.561798,240,6.855964
23.0,151,6.924768
27.0,151,6.991493
9.0,151,7.058241
19.0,151,7.141582
19.0,151,7.208259
7.0,151,7.274918
3.0,151,7.341579
21.0,151,7.408263
21.0,151,7.474932
-1.0,151,7.558389
39.0,151,7.663092
21.0,151,7.741818
60.442478,264,7.858338
9.0,151,7.941554
7.0,151,8.008185
9.0,151,8.085441
13.0,151,8.15839
17.0,151,8.225058
9.0,151,8.291502
19.0,151,8.375045
23.0,151,8.451984
47.423729,269,8.591835
7.0,151,8.67536
45.063946,346,8.88546
6.515464,248,9.008458
27.0,151,9.084646
31.0,151,9.158407
39.0,151,9.24165
23.0,151,9.308293
-1.0,151,9.385499
21.0,151,9.458514
1.0,151,9.524899
33.0,151,9.625304
17.0,151,9.705238
29.0,151,9.774891
11.0,151,9.844545
7.0,151,9.90819
23.0,151,9.974732
27.0,151,10.041407
23.0,151,10.108215
21.0,151,10.195025
13.0,151,10.269575
11.0,151,10.324897
23.0,151,10.402077
37.0,151,10.46822
9.0,151,10.54167
31.0,151,10.608191
13.0,151,10.674895
24.769231,216,10.775078
31.0,151,12.832147
39.0,151,12.912415
19.0,151,12.993661
84.003528,310,13.145871
63.0,151,13.219308
17.0,151,13.29353
104.912621,543,13.581316
61.913574,377,13.778737
49.0,151,13.859757
23.0,151,13.924938
110.390798,489,14.15833
53.490196,253,14.294268
13.0,151,14.359163
82.33557,300,14.508222
27.0,151,14.590577
105.300922,326,14.734935
17.0,151,14.808824
49.307026,308,14.944505
13.0,151,15.026054
37.862069,209,15.146974
11.0,151,15.20824
11.0,151,15.274862
-7.0,151,15.351458
37.333333,301,15.488884
29.0,151,15.559703
25.0,151,15.635467
11.0,151,15.695105
31.0,151,15.775111
31.0,151,15.84465
57.454545,261,15.988566
15.0,151,16.058585
50.893963,382,16.250774
17.0,151,16.326447
53.0,151,16.392252
43.0,151,16.458061
88.072719,341,16.626833
57.409836,273,16.74363
132.507264,481,18.785083
284.119476,728,19.108269
294.675095,1015,19.594281
111.844151,389,19.775744
244.863936,1069,20.273391
79.33157,302,20.408616
226.663913,900,20.83739
231.633545,1317,21.500734
58.105769,335,21.648477
89.140889,335,21.810549
239.567948,813,22.210979
228.612847,1689,24.834044
261.344268,1446,25.553149
266.532827,1589,26.344883
244.079394,1477,27.319985
364.784827,1649,28.149224
109.31445,306,28.284022
168.45478,488,28.508889
298.524181,1179,31.174699
298.730459,1309,31.801256
208.198097,451,32.007685
302.373226,1429,32.691242
287.470445,1331,33.291732
350.26011,1537,34.091051
288.189429,1216,36.390917
417.772261,1409,37.091195
246.691671,1050,37.640874
315.41953,1266,38.216179
